study_name,task_name,run_name,checkpoint_step,embedding_key,pooling,embedding_dim,ssl_method,init_mode,train_dataset_name,val_dataset_name,test_dataset_name,test_split,best_epoch,best_val_mean_l2,test_mae,test_mean_l2,probe_checkpoint_path,model_family,model_arch,patch_size,pretrain_data,feature_kind,objective,init,scale,train_dataset,val_dataset,test_dataset,task_family,paper_scope,cfd_within_test_mean_l2,cfd_within_test_mae,cfd_within_best_val_mean_l2,cfd_within_best_epoch,transfer_penalty_l2,transfer_ratio_l2
followup_50k_landmark_probe,celeb_to_cfd,geometry-fixedcompute-100k-vicreg-random-50ksteps,50000,backbone,gap,2048,vicreg,random,celeb,celeb,cfd,test,481,8.095550677815421,4.947564125061035,7.763312816619872,/workspace/landmark_probe/outputs/probe_runs/followup_50k_landmark_probe/celeb_to_cfd/geometry-fixedcompute-100k-vicreg-random-50ksteps/backbone__gap/best_probe.pt,,,,,,vicreg,random,100k,celeb,celeb,cfd,transfer,True,4.849979877471924,3.0976579189300537,4.949226379394531,957,2.9133329391479483,1.6006896961944794
followup_50k_landmark_probe,celeb_to_cfd,geometry-fixedcompute-100k-vicreg-imagenet-50ksteps,50000,backbone,gap,2048,vicreg,imagenet,celeb,celeb,cfd,test,931,10.164291605923346,6.165966510772705,9.79478645324707,/workspace/landmark_probe/outputs/probe_runs/followup_50k_landmark_probe/celeb_to_cfd/geometry-fixedcompute-100k-vicreg-imagenet-50ksteps/backbone__gap/best_probe.pt,,,,,,vicreg,imagenet,100k,celeb,celeb,cfd,transfer,True,7.173373222351074,4.5073771476745605,7.111922264099121,999,2.621413230895996,1.3654366153329505
followup_50k_landmark_probe,celeb_to_cfd,geometry-fixedcompute-1m-infonce-imagenet-50ksteps,50000,backbone,gap,2048,infonce,imagenet,celeb,celeb,cfd,test,991,10.216931718294738,5.934803485870361,9.576337814331056,/workspace/landmark_probe/outputs/probe_runs/followup_50k_landmark_probe/celeb_to_cfd/geometry-fixedcompute-1m-infonce-imagenet-50ksteps/backbone__gap/best_probe.pt,,,,,,infonce,imagenet,1m,celeb,celeb,cfd,transfer,True,7.050218105316162,4.467141151428223,7.221372127532959,996,2.5261197090148944,1.3583037675260137
followup_50k_landmark_probe,celeb_to_cfd,baseline-imagenet,0,backbone,g4,32768,baseline,imagenet,celeb,celeb,cfd,test,303,12.51689850437185,7.902431964874268,12.084649085998535,/workspace/landmark_probe/outputs/probe_runs/followup_50k_landmark_probe/celeb_to_cfd/baseline-imagenet/backbone__g4/best_probe.pt,,,,,,baseline,imagenet,baseline,celeb,celeb,cfd,transfer,True,9.660913467407227,6.384853839874268,8.924335479736328,263,2.4237356185913086,1.2508805846122317
followup_50k_landmark_probe,celeb_to_cfd,geometry-fixedcompute-10k-lejepa-random-50ksteps,50000,backbone,gap,2048,lejepa,random,celeb,celeb,cfd,test,988,8.64124534690315,5.642782211303711,8.816362380981445,/workspace/landmark_probe/outputs/probe_runs/followup_50k_landmark_probe/celeb_to_cfd/geometry-fixedcompute-10k-lejepa-random-50ksteps/backbone__gap/best_probe.pt,,,,,,lejepa,random,10k,celeb,celeb,cfd,transfer,True,6.622581958770753,4.250659942626953,6.580477714538574,984,2.1937804222106925,1.3312575723287674
followup_50k_landmark_probe,celeb_to_cfd,geometry-fixedcompute-10k-vicreg-imagenet-50ksteps,50000,backbone,g4,32768,vicreg,imagenet,celeb,celeb,cfd,test,256,9.918427613263573,5.595242500305176,8.614714622497559,/workspace/landmark_probe/outputs/probe_runs/followup_50k_landmark_probe/celeb_to_cfd/geometry-fixedcompute-10k-vicreg-imagenet-50ksteps/backbone__g4/best_probe.pt,,,,,,vicreg,imagenet,10k,celeb,celeb,cfd,transfer,True,6.474675178527832,4.1783857345581055,6.663674831390381,698,2.1400394439697266,1.3305246031595233
followup_50k_landmark_probe,celeb_to_cfd,geometry-fixedcompute-10k-infonce-imagenet-50ksteps,50000,backbone,g4,32768,infonce,imagenet,celeb,celeb,cfd,test,287,13.130484398596925,9.08265209197998,13.81279468536377,/workspace/landmark_probe/outputs/probe_runs/followup_50k_landmark_probe/celeb_to_cfd/geometry-fixedcompute-10k-infonce-imagenet-50ksteps/backbone__g4/best_probe.pt,,,,,,infonce,imagenet,10k,celeb,celeb,cfd,transfer,True,11.729509353637695,7.8008551597595215,10.43490982055664,358,2.083285331726074,1.177610611741401
followup_50k_landmark_probe,celeb_to_cfd,geometry-fixedcompute-100k-lejepa-random-50ksteps,50000,backbone,gap,2048,lejepa,random,celeb,celeb,cfd,test,672,9.0486534097807,5.549038887023926,8.687082290649414,/workspace/landmark_probe/outputs/probe_runs/followup_50k_landmark_probe/celeb_to_cfd/geometry-fixedcompute-100k-lejepa-random-50ksteps/backbone__gap/best_probe.pt,,,,,,lejepa,random,100k,celeb,celeb,cfd,transfer,True,6.693324089050293,4.255705833435059,6.437655925750732,981,1.993758201599121,1.2978726526720468
followup_50k_landmark_probe,celeb_to_cfd,geometry-fixedcompute-100k-infonce-imagenet-50ksteps,50000,backbone,g4,32768,infonce,imagenet,celeb,celeb,cfd,test,249,6.7301168650225875,4.0455102920532235,6.300570487976074,/workspace/landmark_probe/outputs/probe_runs/followup_50k_landmark_probe/celeb_to_cfd/geometry-fixedcompute-100k-infonce-imagenet-50ksteps/backbone__g4/best_probe.pt,,,,,,infonce,imagenet,100k,celeb,celeb,cfd,transfer,True,4.666220664978027,2.979553699493408,4.279738426208496,424,1.6343498229980469,1.3502512933570712
followup_50k_landmark_probe,celeb_to_cfd,geometry-fixedcompute-1m-infonce-imagenet-50ksteps,50000,backbone,g4,32768,infonce,imagenet,celeb,celeb,cfd,test,397,6.627006911189178,3.867227792739868,6.041897296905518,/workspace/landmark_probe/outputs/probe_runs/followup_50k_landmark_probe/celeb_to_cfd/geometry-fixedcompute-1m-infonce-imagenet-50ksteps/backbone__g4/best_probe.pt,,,,,,infonce,imagenet,1m,celeb,celeb,cfd,transfer,True,4.4774274826049805,2.853899478912353,4.439042091369629,299,1.564469814300537,1.349412652774071
