step,epoch,lr,world_size,bs,loss,nce_12,nce_21,tau,gather,bs_local,bs_global_view,run_name,scale,objective,init,reg,sim,sigreg,V,inv,var,cov
4800,184,0.00019511959999999579,1,384,3.5783894062042236,3.5783283710479736,3.5784504413604736,0.2,1.0,384.0,384.0,geometry-fixedcompute-10k-infonce-random-50ksteps,10k,infonce,random,,,,,,,
4900,188,0.0001990795999999954,1,384,3.4783427715301514,3.4781901836395264,3.4784953594207764,0.2,1.0,384.0,384.0,geometry-fixedcompute-10k-infonce-random-50ksteps,10k,infonce,random,,,,,,,
5000,192,0.00020303959999999526,1,384,3.48919677734375,3.4892985820770264,3.4890949726104736,0.2,1.0,384.0,384.0,geometry-fixedcompute-10k-infonce-random-50ksteps,10k,infonce,random,,,,,,,
5100,196,0.00020699959999999503,1,384,3.4065959453582764,3.4061686992645264,3.4070231914520264,0.2,1.0,384.0,384.0,geometry-fixedcompute-10k-infonce-random-50ksteps,10k,infonce,random,,,,,,,
5200,200,0.00021095959999999455,1,384,3.3214519023895264,3.3210246562957764,3.3218791484832764,0.2,1.0,384.0,384.0,geometry-fixedcompute-10k-infonce-random-50ksteps,10k,infonce,random,,,,,,,
5300,203,0.00021491959999999426,1,384,3.3470969200134277,3.3469645977020264,3.34722900390625,0.2,1.0,384.0,384.0,geometry-fixedcompute-10k-infonce-random-50ksteps,10k,infonce,random,,,,,,,
5400,207,0.00021887959999999408,1,384,3.2791848182678223,3.2805378437042236,3.27783203125,0.2,1.0,384.0,384.0,geometry-fixedcompute-10k-infonce-random-50ksteps,10k,infonce,random,,,,,,,
5500,211,0.0002228395999999941,1,384,3.2377727031707764,3.2375285625457764,3.2380168437957764,0.2,1.0,384.0,384.0,geometry-fixedcompute-10k-infonce-random-50ksteps,10k,infonce,random,,,,,,,
5600,215,0.0002267995999999939,1,384,3.1955971717834473,3.1953938007354736,3.19580078125,0.2,1.0,384.0,384.0,geometry-fixedcompute-10k-infonce-random-50ksteps,10k,infonce,random,,,,,,,
5700,219,0.00023075959999999354,1,384,3.2275187969207764,3.2278850078582764,3.2271525859832764,0.2,1.0,384.0,384.0,geometry-fixedcompute-10k-infonce-random-50ksteps,10k,infonce,random,,,,,,,
5800,223,0.00023471959999999328,1,384,3.1248576641082764,3.1249186992645264,3.1247966289520264,0.2,1.0,384.0,384.0,geometry-fixedcompute-10k-infonce-random-50ksteps,10k,infonce,random,,,,,,,
5900,226,0.00023867959999999288,1,384,3.1732993125915527,3.1732177734375,3.1733806133270264,0.2,1.0,384.0,384.0,geometry-fixedcompute-10k-infonce-random-50ksteps,10k,infonce,random,,,,,,,
6000,230,0.00024263959999999268,1,384,3.0851845741271973,3.085693359375,3.0846760272979736,0.2,1.0,384.0,384.0,geometry-fixedcompute-10k-infonce-random-50ksteps,10k,infonce,random,,,,,,,
6100,234,0.0002465995999999924,1,384,3.0686137676239014,3.0684001445770264,3.0688273906707764,0.2,1.0,384.0,384.0,geometry-fixedcompute-10k-infonce-random-50ksteps,10k,infonce,random,,,,,,,
6200,238,0.00025055959999999237,1,384,3.0402321815490723,3.0404052734375,3.0400593280792236,0.2,1.0,384.0,384.0,geometry-fixedcompute-10k-infonce-random-50ksteps,10k,infonce,random,,,,,,,
6300,242,0.00025451959999999216,1,384,3.1262412071228027,3.1265056133270264,3.1259765625,0.2,1.0,384.0,384.0,geometry-fixedcompute-10k-infonce-random-50ksteps,10k,infonce,random,,,,,,,
6400,246,0.0002584795999999917,1,384,2.9946694374084473,2.995361328125,2.9939777851104736,0.2,1.0,384.0,384.0,geometry-fixedcompute-10k-infonce-random-50ksteps,10k,infonce,random,,,,,,,
6500,250,0.00026243959999999164,1,384,3.0362956523895264,3.0367839336395264,3.0358073711395264,0.2,1.0,384.0,384.0,geometry-fixedcompute-10k-infonce-random-50ksteps,10k,infonce,random,,,,,,,
6600,253,0.0002663995999999912,1,384,2.9695229530334473,2.9698486328125,2.9691975116729736,0.2,1.0,384.0,384.0,geometry-fixedcompute-10k-infonce-random-50ksteps,10k,infonce,random,,,,,,,
6700,257,0.00027035959999999106,1,384,2.9816997051239014,2.9820964336395264,2.9813029766082764,0.2,1.0,384.0,384.0,geometry-fixedcompute-10k-infonce-random-50ksteps,10k,infonce,random,,,,,,,
6800,261,0.0002743195999999908,1,384,3.0499675273895264,3.0501506328582764,3.0497844219207764,0.2,1.0,384.0,384.0,geometry-fixedcompute-10k-infonce-random-50ksteps,10k,infonce,random,,,,,,,
6900,265,0.0002782795999999907,1,384,2.927764892578125,2.9279377460479736,2.9275920391082764,0.2,1.0,384.0,384.0,geometry-fixedcompute-10k-infonce-random-50ksteps,10k,infonce,random,,,,,,,
7000,269,0.00028223959999999033,1,384,2.8682456016540527,2.86761474609375,2.8688762187957764,0.2,1.0,384.0,384.0,geometry-fixedcompute-10k-infonce-random-50ksteps,10k,infonce,random,,,,,,,
7100,273,0.0002861995999999898,1,384,2.8754680156707764,2.8749797344207764,2.8759562969207764,0.2,1.0,384.0,384.0,geometry-fixedcompute-10k-infonce-random-50ksteps,10k,infonce,random,,,,,,,
7200,276,0.00029015959999998954,1,384,2.8274028301239014,2.8272502422332764,2.8275554180145264,0.2,1.0,384.0,384.0,geometry-fixedcompute-10k-infonce-random-50ksteps,10k,infonce,random,,,,,,,
7300,280,0.0002941195999999894,1,384,2.9412841796875,2.9414470195770264,2.9411213397979736,0.2,1.0,384.0,384.0,geometry-fixedcompute-10k-infonce-random-50ksteps,10k,infonce,random,,,,,,,
7400,284,0.00029807959999998874,1,384,2.9133505821228027,2.91351318359375,2.9131877422332764,0.2,1.0,384.0,384.0,geometry-fixedcompute-10k-infonce-random-50ksteps,10k,infonce,random,,,,,,,
7500,288,0.00030203959999998816,1,384,2.8724262714385986,2.8725788593292236,2.8722736835479736,0.2,1.0,384.0,384.0,geometry-fixedcompute-10k-infonce-random-50ksteps,10k,infonce,random,,,,,,,
7600,292,0.00030599959999998757,1,384,2.8128762245178223,2.8132526874542236,2.8125,0.2,1.0,384.0,384.0,geometry-fixedcompute-10k-infonce-random-50ksteps,10k,infonce,random,,,,,,,
